User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,User-City,User-State,User-Country,User-Age,Series-Title,Genre
277427,0440224764,7,The Partner,John Grisham,1998,Dell Publishing Company,gilbert, arizona,United States,48.0,partner,Thriller
277427,0671749897,8,"RED DEATH : Featuring an Original Easy Rawlins Short Story \Silver Lining\"" (Easy Rawlins Mysteries (Paperback))""",Walter Mosley,1992,Pocket,gilbert, arizona,United States,48.0,ring,Fantasy
277439,0671027360,7,Angels & Demons,Dan Brown,2001,Pocket Star,turner, oregon,United States,65.0,angels & demons,Thriller
277462,0312195516,10,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,vancouver, british columbia,Canada,33.0,red tent (bestselling backlist),Historical Fiction
277517,0452282152,8,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,doylestown, pennsylvania,United States,33.0,ring,Fantasy
277517,0553272586,10,Farewell to Manzanar: A True Story of Japanese American Experience During and  After the World War II Internment,Jeanne W. Houston,1983,Bantam Books,doylestown, pennsylvania,United States,33.0,ring,Fantasy
277523,0312289723,10,Ten Big Ones: A Stephanie Plum Novel,Janet Evanovich,2004,St. Martin's Press,woodstock, virginia,United States,62.0,stephanie plum,Mystery
277523,0385508042,10,The King of Torts,John Grisham,2003,Doubleday Books,woodstock, virginia,United States,62.0,king of torts,Legal Thriller
277523,0440241537,10,The King of Torts,JOHN GRISHAM,2003,Dell,woodstock, virginia,United States,62.0,king of torts,Legal Thriller
277535,0316601950,9,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,clifton, illinois,United States,32.0,pilot's wife : a novel,Fiction
277556,0345318587,10,The Hobbit,J R R Tolkien,1981,Ballantine Books,redondo beach, california,United States,42.0,hobbit,Fantasy
277598,0375707972,8,The Reader,Bernhard Schlink,1999,Vintage Books USA,cleves, ohio,United States,33.0,reader,Historical Fiction
277619,0618002219,8,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company,haddonfield, new jersey,United States,25.0,hobbit,Fantasy
277623,1400031346,8,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2002,Anchor (UK),alamosa, co,United States,54.0,no. 1 ladies' detective agency,Mystery
277629,0385472943,8,The Runaway Jury,JOHN GRISHAM,1996,Doubleday,pierre, south dakota,United States,50.0,runaway jury,Legal Thriller
277629,0440241073,8,The Summons,John Grisham,2002,Dell Publishing Company,pierre, south dakota,United States,50.0,summons,Thriller
277639,0425147363,8,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group,forsyth, montana,United States,48.0,tom clancy's op center,Thriller
277639,0440211727,8,A Time to Kill,JOHN GRISHAM,1992,Dell,forsyth, montana,United States,48.0,time to kill,Thriller
277639,0440214041,9,The Pelican Brief,John Grisham,1993,Dell,forsyth, montana,United States,48.0,pelican brief,Thriller
277710,0451210840,5,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,2003,New American Library,douglasville, georgia,United States,56.0,dark tower,Fantasy
277710,0451210875,8,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,2003,New American Library,douglasville, georgia,United States,56.0,dark tower,Fantasy
277744,0345339681,3,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,springfield, missouri,United States,33.0,hobbit,Fantasy
277776,0345339681,7,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,baton rouge, louisiana,United States,17.0,hobbit,Fantasy
277778,0061097314,8,The Bean Trees,Barbara Kingsolver,1998,HarperTorch,baton rouge, louisiana,United States,17.0,bean trees,Fiction
277803,0142001740,8,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,baton rouge, louisiana,United States,17.0,secret life of bees,Historical Fiction
277807,0345443284,5,While I Was Gone,Sue Miller,1999,Ballantine Books,fort dodge, iowa,United States,33.0,while i was gone,Fiction
277901,0446672211,7,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,bath, pennsylvania,United States,40.0,where the heart is (oprah's book club (paperback)),Fiction
277901,0452282152,8,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,bath, pennsylvania,United States,40.0,ring,Fantasy
277903,0440226430,8,Summer Sisters,Judy Blume,1999,Dell Publishing Company,greensboro, north carolina,United States,35.0,summer sisters,Fiction
277913,0452284937,4,Girl With a Pearl Earring,Tracy Chevalier,2003,Plume Books,cocolalla, idaho,United States,52.0,ring,Fantasy
277915,0671510053,7,SHIPPING NEWS,Annie Proulx,1994,Scribner,san francisco, california,United States,33.0,shipping news,Fiction
277922,0440225701,6,The Street Lawyer,JOHN GRISHAM,1999,Dell,st. louis, missouri,United States,26.0,street lawyer,Legal Thriller
277937,0060934417,9,Bel Canto: A Novel,Ann Patchett,2002,Perennial,hemet, california,United States,40.0,bel canto: a novel,Fiction
277938,0446672211,9,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,altoona, iowa,United States,63.0,where the heart is (oprah's book club (paperback)),Fiction
277958,0142001740,9,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,north royalton, ohio,United States,60.0,secret life of bees,Historical Fiction
277959,0156027321,8,Life of Pi,Yann Martel,2003,Harvest Books,st. joseph, michigan,United States,28.0,life of pi,Fiction
277965,0374190666,10,Longitudes and Attitudes: Exploring the World After September 11,Thomas L. Friedman,2002,Farrar Straus & Giroux,chula vista, california,United States,33.0,ring,Fantasy
277969,0446527785,8,A Bend in the Road,Nicholas Sparks,2001,Warner Books,alexandria, virginia,United States,55.0,bend in the road,Romance
277997,067976402X,8,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,sunnyvale, callif,United States,33.0,snow falling on cedars,Historical Fiction
278007,0316601950,6,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,macomb, illinois,United States,30.0,pilot's wife : a novel,Fiction
278026,0061009059,8,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,east orange, new jersey,United States,56.0,stephanie plum,Mystery
278075,0452282152,8,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,coos bay, oregon,United States,62.0,ring,Fantasy
278089,0425076695,8,Heretics of Dune,Frank Herbert,1985,Penguin Putnam~mass,valdese, north carolina,United States,33.0,dune,Science Fiction
278107,0446605239,8,The Notebook,Nicholas Sparks,1998,Warner Books,kentville, nova scotia,Canada,51.0,notebook,Romance
278112,0385472951,8,The Partner,John Grisham,1997,Doubleday Books,middleburg hts, ,United States,70.0,partner,Thriller
278122,0375727345,10,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,calgary, alberta,Canada,33.0,house of sand and fog,Fiction
278137,0345337662,7,Interview with the Vampire,Anne Rice,1993,Ballantine Books,san antonio, texas,United States,27.0,interview with the vampire,Horror
278137,0446606812,7,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,san antonio, texas,United States,27.0,message in a bottle,Romance
278137,0804106304,8,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),san antonio, texas,United States,27.0,joy luck club,Fiction
278162,059035342X,10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,pittsburgh, pennsylvania,United States,33.0,harry potter,Fantasy
278176,0971880107,9,Wild Animus,Rich Shapero,2004,Too Far,medan, su,Indonesia,21.0,wild animus,Fiction
278188,0440225701,9,The Street Lawyer,JOHN GRISHAM,1999,Dell,lake george, new york,United States,34.0,street lawyer,Legal Thriller
278194,0440241537,7,The King of Torts,JOHN GRISHAM,2003,Dell,aptos, california,United States,33.0,king of torts,Legal Thriller
278202,014025448X,2,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,coral springs, florida,United States,33.0,mitford years,Fiction
278202,0385324057,3,Summer Sisters,Judy Blume,1998,Delacorte Press,coral springs, florida,United States,33.0,summer sisters,Fiction
278202,0385497466,3,The Brethren,JOHN GRISHAM,2000,Doubleday,coral springs, florida,United States,33.0,brethren,Thriller
278220,0671003755,8,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,vancouver, british columbia,Canada,33.0,she's come undone (oprah's book club (paperback)),Fiction
278221,0804106304,9,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),oshawa, ontario,Canada,32.0,joy luck club,Fiction
278221,0871237954,10,"When Comes the Spring (Canadian West, Book 2)",Janette Oke,1985,Bethany House Publishers,oshawa, ontario,Canada,32.0,ring,Fantasy
278243,0156027321,8,Life of Pi,Yann Martel,2003,Harvest Books,glen ellyn, illinois,United States,46.0,life of pi,Fiction
278243,0375725784,7,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,Vintage Books USA,glen ellyn, illinois,United States,46.0,ring,Fantasy
278243,0671510053,8,SHIPPING NEWS,Annie Proulx,1994,Scribner,glen ellyn, illinois,United States,46.0,shipping news,Fiction
278246,0618129030,8,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,2001,Houghton Mifflin Company,cary, north carolina,United States,33.0,ring,Fantasy
278254,0671027360,8,Angels & Demons,Dan Brown,2001,Pocket Star,brisol, pennsylvania,United States,26.0,angels & demons,Thriller
278325,0440214041,7,The Pelican Brief,John Grisham,1993,Dell,arlington, texas,United States,59.0,pelican brief,Thriller
278333,0440225701,10,The Street Lawyer,JOHN GRISHAM,1999,Dell,yakima, washington,United States,33.0,street lawyer,Legal Thriller
278342,0671510053,8,SHIPPING NEWS,Annie Proulx,1994,Scribner,st. john`s, newfoundland,Canada,33.0,shipping news,Fiction
278350,0312195516,9,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,niwot, colorado,United States,52.0,red tent (bestselling backlist),Historical Fiction
278356,0312265859,7,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Press,lakeland, tennessee,United States,57.0,stephanie plum,Mystery
278356,0439064872,8,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,lakeland, tennessee,United States,57.0,harry potter,Fantasy
278356,0439136369,10,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,lakeland, tennessee,United States,57.0,harry potter,Fantasy
278356,0439139600,10,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks,lakeland, tennessee,United States,57.0,harry potter,Fantasy
278356,043935806X,10,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,lakeland, tennessee,United States,57.0,harry potter,Fantasy
278390,0671027360,7,Angels & Demons,Dan Brown,2001,Pocket Star,elburn, illinois,United States,35.0,angels & demons,Thriller
278418,0553299352,5,Bring Me the Head of Prince Charming,Roger Zelazny,1992,Spectra Books,omaha, nebraska,United States,33.0,ring,Fantasy
278422,0671027360,6,Angels & Demons,Dan Brown,2001,Pocket Star,new york, new york,United States,32.0,angels & demons,Thriller
278469,0316569321,7,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",naples, florida,United States,57.0,white oleander : a novel,Fiction
278469,0446679593,6,Suzanne's Diary for Nicholas,James Patterson,2002,Warner Books,naples, florida,United States,57.0,suzanne's diary for nicholas,Romance
278535,0446605484,10,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,oshkosh, wisconsin,United States,33.0,alex cross,Thriller
278535,0446610038,10,1st to Die: A Novel,James Patterson,2002,Warner Vision,oshkosh, wisconsin,United States,33.0,1st to die: a novel,Thriller
278541,0142001740,9,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,ottawa, ontario,Canada,33.0,secret life of bees,Historical Fiction
278543,0446605239,5,The Notebook,Nicholas Sparks,1998,Warner Books,valenica, california,United States,39.0,notebook,Romance
278550,0345339703,10,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,aurora, illinois,United States,30.0,ring,Fantasy
278551,044041833X,7,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,2001,Yearling,bad honnef, nordrhein-westfalen,Germany,21.0,his dark materials,Fantasy
278551,0590660543,5,Northern Lights (His Dark Materials S.),Philip Pullman,1998,Scholastic Point,bad honnef, nordrhein-westfalen,Germany,21.0,his dark materials,Fantasy
278552,0671021001,7,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,royal oak, michigan,United States,26.0,she's come undone (oprah's book club),Fiction
278552,0671510053,8,SHIPPING NEWS,Annie Proulx,1994,Scribner,royal oak, michigan,United States,26.0,shipping news,Fiction
278554,0330375253,8,Bridget Jones's Diary,Helen Fielding,2001,Picador,takasaki, gunma,Japan,22.0,bridget jones,Romance
278561,0446612545,7,The Beach House,James Patterson,2003,Warner Books,merrimack, new hampshire,United States,33.0,beach house,Fiction
278582,0312980140,7,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks,slidell, louisiana,United States,33.0,stephanie plum,Mystery
278582,0312983867,7,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,slidell, louisiana,United States,33.0,stephanie plum,Mystery
278582,0312990456,5,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,slidell, louisiana,United States,33.0,stephanie plum,Mystery
278582,0312991460,6,To the Nines (A Stephanie Plum Novel),Janet Evanovich,2004,St. Martin's Paperbacks,slidell, louisiana,United States,33.0,stephanie plum,Mystery
278582,0441478123,10,The Left Hand of Darkness (Remembering Tomorrow),Ursula K. Le Guin,1991,ACE Charter,slidell, louisiana,United States,33.0,ring,Fantasy
278582,1400034779,10,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,slidell, louisiana,United States,33.0,no. 1 ladies' detective agency,Mystery
278586,0446606812,5,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,port orchard, washington,United States,63.0,message in a bottle,Romance
278633,014028009X,2,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books,sandy, utah,United States,33.0,bridget jones,Romance
278633,0385512147,7,Bringing Elizabeth Home : A Journey of Faith and Hope,ED SMART,2003,Doubleday,sandy, utah,United States,33.0,ring,Fantasy
278633,0440226430,9,Summer Sisters,Judy Blume,1999,Dell Publishing Company,sandy, utah,United States,33.0,summer sisters,Fiction
278633,0446679593,8,Suzanne's Diary for Nicholas,James Patterson,2002,Warner Books,sandy, utah,United States,33.0,suzanne's diary for nicholas,Romance
278633,0451163524,5,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,Signet Book,sandy, utah,United States,33.0,dark tower,Fantasy
278641,0765342294,9,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,2002,Starscape Books,l. p., alberta,Canada,33.0,ender's game (ender wiggins saga (paperback)),Science Fiction
278663,0061097314,4,The Bean Trees,Barbara Kingsolver,1998,HarperTorch,arlington, texas,United States,33.0,bean trees,Fiction
278683,0446364495,1,The Bridges of Madison County,Robert James Waller,1995,Warner Books,fort worth, texas,United States,27.0,bridges of madison county,Romance
278773,0140270590,7,A New Song (Mitford Years (Paperback)),Jan Karon,2000,Viking Books,alexandria, virginia,United States,33.0,mitford years,Fiction
278798,0316284955,7,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books,stayton, oregon,United States,39.0,white oleander : a novel (oprah's book club),Fiction
278818,0064405788,10,Wringer (Trophy Newbery),Jerry Spinelli,1998,HarperTrophy,allentown, pennsylvania,United States,15.0,ring,Fantasy
278831,0449205193,10,The Wicked Day,Mary Stewart,1988,Fawcett Books,anchorage, alaska,United States,33.0,wicked,Fantasy
278836,0312983867,8,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,des moines, washington,United States,47.0,stephanie plum,Mystery
278843,014028009X,8,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books,pismo beach, california,United States,28.0,bridget jones,Romance
278843,059035342X,8,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,pismo beach, california,United States,28.0,harry potter,Fantasy
278851,0439050006,5,Captain Underpants and the Wrath of the Wicked Wedgie Woman,Dav Pilkey,2001,Blue Sky Press (AZ),dallas, texas,United States,33.0,wicked,Fantasy
51,0440225701,9,The Street Lawyer,JOHN GRISHAM,1999,Dell,renton, washington,United States,34.0,street lawyer,Legal Thriller
114,0446612545,9,The Beach House,James Patterson,2003,Warner Books,ligonier, pennsylvania,United States,57.0,beach house,Fiction
114,0671027360,10,Angels & Demons,Dan Brown,2001,Pocket Star,ligonier, pennsylvania,United States,57.0,angels & demons,Thriller
165,0060976845,9,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,olympia, washington,United States,62.0,little altars everywhere: a novel,Fiction
165,0446612545,5,The Beach House,James Patterson,2003,Warner Books,olympia, washington,United States,62.0,beach house,Fiction
226,0671461494,8,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,new york, new york,United States,33.0,hitchhiker's guide to the galaxy,Science Fiction
243,0060915544,10,The Bean Trees,Barbara Kingsolver,1989,Perennial,arden hills, minnesota,United States,33.0,bean trees,Fiction
243,0316601950,9,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,arden hills, minnesota,United States,33.0,pilot's wife : a novel,Fiction
243,044023722X,7,A Painted House,John Grisham,2001,Dell Publishing Company,arden hills, minnesota,United States,33.0,painted house,Fiction
244,0060987103,8,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,college station, texas,United States,33.0,wicked,Fantasy
244,0151008116,9,Life of Pi,Yann Martel,2002,Harcourt,college station, texas,United States,33.0,life of pi,Fiction
254,0142001740,9,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,minneapolis, minnesota,United States,24.0,secret life of bees,Historical Fiction
254,037582345X,9,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,Knopf Books for Young Readers,minneapolis, minnesota,United States,24.0,his dark materials,Fantasy
254,0380789035,10,American Gods,Neil Gaiman,2002,HarperTorch,minneapolis, minnesota,United States,24.0,american gods,Fantasy
254,0439064864,9,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,minneapolis, minnesota,United States,24.0,harry potter,Fantasy
254,0439064872,9,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,minneapolis, minnesota,United States,24.0,harry potter,Fantasy
254,0439136350,9,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,minneapolis, minnesota,United States,24.0,harry potter,Fantasy
254,0439136369,9,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,minneapolis, minnesota,United States,24.0,harry potter,Fantasy
254,0439139597,9,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,minneapolis, minnesota,United States,24.0,harry potter,Fantasy
254,0553280325,8,Something Wicked This Way Comes,Ray Bradbury,1983,Bantam,minneapolis, minnesota,United States,24.0,wicked,Fantasy
254,0590353403,9,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,minneapolis, minnesota,United States,24.0,harry potter,Fantasy
254,0618002219,9,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company,minneapolis, minnesota,United States,24.0,hobbit,Fantasy
254,0618002227,8,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J. R. R. Tolkien,1999,Houghton Mifflin Company,minneapolis, minnesota,United States,24.0,ring,Fantasy
254,0671021001,7,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,minneapolis, minnesota,United States,24.0,she's come undone (oprah's book club),Fiction
254,0679879242,8,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1996,Knopf Books for Young Readers,minneapolis, minnesota,United States,24.0,his dark materials,Fantasy
256,044023722X,8,A Painted House,John Grisham,2001,Dell Publishing Company,boston, massachusetts,United States,33.0,painted house,Fiction
383,0385416342,10,The Firm,John Grisham,1991,Doubleday Books,carmichael, california,United States,33.0,firm,Thriller
388,0060976845,3,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,nashville, tennessee,United States,35.0,little altars everywhere: a novel,Fiction
424,0671021001,6,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,portland, oregon,United States,29.0,she's come undone (oprah's book club),Fiction
433,0842329129,5,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996,Tyndale House Publishers,smock, pennsylvania,United States,48.0,left behind,Fiction
453,0312278586,6,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,charleston, west virginia,United States,33.0,nanny diaries: a novel,Fiction
486,0060976845,8,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,portland, oregon,United States,31.0,little altars everywhere: a novel,Fiction
487,0385490992,7,The Street Lawyer,John Grisham,1998,Doubleday Books,houston, texas,United States,33.0,street lawyer,Legal Thriller
